CoC Number,CoC Name,CoC Category,"Overall Homeless 2019","Overall Homeless - Under 18 2019","Overall Homeless - Age 18 to 24 2019","Overall Homeless - Over 24 2019","Overall Homeless - Female 2019","Overall Homeless - Male 2019","Overall Homeless - Transgender 2019","Overall Homeless - Gender Non-Conforming 2019","Overall Homeless - Non-Hispanic/Non-Latino, 2019","Overall Homeless - Hispanic/Latino, 2019","Overall Homeless - White, 2019","Overall Homeless - Black or African American, 2019","Overall Homeless - Asian, 2019","Overall Homeless - American Indian or Alaska Native, 2019","Overall Homeless - Native Hawaiian or Other Pacific Islander 2019","Overall Homeless - Multiple Races 2019"
MI-505,Flint/Genesee County CoC,635,119,62,454,164,43,8,113,124,27,16,81,0,0,0,288,70
MI-506, Grand Rapids Wyoming/Kent County CoC ,793,258,83,452,345,64,27,254,415,194,54,167,0,0,0,760,258
MI-507, Portage Kalamazoo City & County CoC ,681,248,68,365,465,131,36,298,206,114,31,61,0,0,0,671,245
MI-508, Lansing East Lansing/Ingham County CoC ,429,89,39,301,361,81,32,248,53,8,7,38,0,0,0,414,89
MI-509,Washtenaw County CoC,545,79,57,409,254,34,29,191,125,40,14,71,0,0,0,379,74
MI-510,Saginaw City & County CoC,325,94,32,199,164,49,19,96,143,43,11,89,6,1,5,313,92
MI-511,Lenawee County CoC,138,65,12,61,76,26,8,42,42,28,3,11,0,0,0,118,54
MI-512, Grand Traverse Antrim Leelanau Counties CoC ,396,103,67,226,228,51,42,135,113,52,25,36,0,0,0,341,103
MI-513, Marquette Alger Counties CoC ,80,21,11,48,53,13,5,35,22,8,6,8,0,0,0,75,21
MI-514,Battle Creek/Calhoun County CoC,284,57,20,207,123,38,10,75,107,19,5,83,0,0,0,230,57
MI-515,Monroe City & County CoC,185,26,26,133,90,13,21,56,92,13,5,74,0,0,0,182,26
MI-516, Norton Shores Muskegon City & County CoC ,584,216,109,259,96,23,11,62,80,4,29,47,0,0,0,176,27
MI-517,Jackson City & County CoC,240,82,23,135,91,21,8,62,116,61,13,42,0,0,0,207,82
MI-518,Livingston County CoC,135,32,25,78,44,11,9,24,61,21,6,34,0,0,0,105,32
MI-519,Holland/Ottawa County CoC,387,165,39,183,177,57,22,98,202,108,17,77,0,0,0,379,165
MI-523,Eaton County CoC,126,72,10,44,42,21,1,20,69,45,7,17,0,0,0,111,66
MN-500,Minneapolis/Hennepin County CoC, 3731 , 1,361 ,329, 2,041 , 2,510 ,999,174, 1,337 , 1,011 ,355,149,507
MN-501,Saint Paul/Ramsey County CoC, 1500 ,514,206,780,712,180,85,447,720,330,118,272,0,0,0, 1,432 
MN-502,Rochester/Southeast Minnesota CoC,482,229,52,201,222,86,25,111,236,140,23,73,0,0,0,458,226
MN-503, Dakota Anoka Washington Scott Carver Counties ,735,301,97,337,254,94,32,128,383,190,47,146,0,0,0,637,284
MN-504,Northeast Minnesota CoC,200,71,43,86,9,3,3,3,57,29,5,23,0,0,0,66,32
